VARNAME,VARDESC,DOCFILE,TYPE,UNITS,MIN,MAX,RESOLUTION,ASK IF Q1.6.1 = Yes,COMMENT2,VARIABLE_SOURCE,SOURCE_VARIABLE_ID,VARIABLE_MAPPING,UNIQUEKEY,COLLINTERVAL,ORDER,VALUES,,,,,,,,,
PX031402_Substances_Lifetime_Abuse_Dependence_Stimulants_Experiences_Recent_Period_Age,About how old were you the MOST RECENT time when some of these experiences BEGAN to happen around the same time?,DCW_031402.doc,integer,,,,,,,PhenX,PX031402530600,,,,,,,,,,,,,,
PX031402_Substances_Lifetime_Abuse_Dependence_Stimulants_Experiences_Recent_Period_Months,How long did this period last when some of these experiences with stimulants were happening around the same time? Months,DCW_031402.doc,integer,months,,,,,,PhenX,PX031402530700,,,,,,,,,,,,,,
PX031402_Substances_Lifetime_Abuse_Dependence_Stimulants_Experiences_Recent_Period_Years,How long did this period last when some of these experiences with stimulants were happening around the same time? Years,DCW_031402.doc,integer,years,,,,,,PhenX,PX031402530800,,,,,,,,,,,,,,
PX031402_Substances_Lifetime_Abuse_Dependence_Stimulants_Stopped_Age,"About how old were you when you FINALLY STOPPED having these problems with stimulants? By finally stopped, I mean they never started happening again.",DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402530900,,,,,1 = Yes,2 = No,,,,,,,,
PX031402_Substances_Lifetime_Abuse_Dependence_Club_Drugs_Experiences_Prior_Last_Year,"You just mentioned some experience you had with club drugs in the past, that is, before 12 months ago. Before last (Month one year ago) was there ever a period when SOME of these experiences withclub drugs were happening around the same time most days for at least a month (PAUSE), on and off for a few months or longer (PAUSE) or within the same 1-year period?",DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402540100,,,,,1 = Yes,2 = No,,,,,,,,
PX031402_Substances_Lifetime_Abuse_Dependence_Club_Drugs_Experiences_First_Time_Age,About how old were you the FIRST time SOME of these experiences with club drugs BEGAN to happen around the same time?,DCW_031402.doc,integer,,,,,,,PhenX,PX031402540200,,,,,,,,,,,,,,
PX031402_Substances_Lifetime_Abuse_Dependence_Club_Drugs_Experiences_Number_Lifetime,"In your ENTIRE LIFE how many separate periods like this did you have when some of these experiences with club drugs were happening around the same time?

By separate periods, I mean times separated by at least a year when you EITHER STOPPED using club drugs entirely (PAUSE) OR you didn�t have any of the experiences you just mentioned with club drugs.",DCW_031402.doc,integer,,,,,,,PhenX,PX031402540300,,,,,,,,,,,,,,
PX031402_Substances_Lifetime_Abuse_Dependence_Club_Drugs_Experiences_Longest_Period_Months,In your ENTIRE LIFE what was the LONGEST period you had when SOME of these experiences with club drugs were happening around the same time? Months,DCW_031402.doc,integer,months,,,,,,PhenX,PX031402540400,,,,,,,,,,,,,,
PX031402_Substances_Lifetime_Abuse_Dependence_Club_Drugs_Experiences_Longest_Period_Years,In your ENTIRE LIFE what was the LONGEST period you had when SOME of these experiences with club drugs were happening around the same time? Years,DCW_031402.doc,integer,years,,,,,,PhenX,PX031402540500,,,,,,,,,,,,,,
PX031402_Substances_Lifetime_Abuse_Dependence_Club_Drugs_Experiences_Recent_Period_Age,About how old were you the MOST RECENT time when some of these experiences BEGAN to happen around the same time?,DCW_031402.doc,integer,,,,,,,PhenX,PX031402540600,,,,,,,,,,,,,,
PX031402_Substances_Lifetime_Abuse_Dependence_Club_Drugs_Experiences_Recent_Period_Months,How long did this period last when some of these experiences with club drugs were happening around the same time? Months,DCW_031402.doc,integer,months,,,,,,PhenX,PX031402540700,,,,,,,,,,,,,,
PX031402_Substances_Lifetime_Abuse_Dependence_Club_Drugs_Experiences_Recent_Period_Years,How long did this period last when some of these experiences with club drugs were happening around the same time? Years,DCW_031402.doc,integer,years,,,,,,PhenX,PX031402540800,,,,,,,,,,,,,,
PX031402_Substances_Lifetime_Abuse_Dependence_Club_Drugs_Stopped_Age,"About how old were you when you FINALLY STOPPED having these problems with club drugs? By finally stopped, I mean they never started happening again.",DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402540900,,,,,1 = Yes,2 = No,,,,,,,,
PX031402_Substances_Lifetime_Abuse_Dependence_Hallucinogens_Experiences_Prior_Last_Year,"You just mentioned some experience you had with hallucinogens in the past, that is, before 12 months ago. Before last (Month one year ago) was there ever a period when SOME of these experiences withhallucinogens were happening around the same time most days for at least a month (PAUSE), on and off for a few months or longer (PAUSE) or within the same 1-year period?",DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402550100,,,,,1 = Yes,2 = No,,,,,,,,
PX031402_Substances_Lifetime_Abuse_Dependence_Hallucinogens_Experiences_First_Time_Age,About how old were you the FIRST time SOME of these experiences with hallucinogens BEGAN to happen around the same time?,DCW_031402.doc,integer,,,,,,,PhenX,PX031402550200,,,,,,,,,,,,,,
PX031402_Substances_Lifetime_Abuse_Dependence_Hallucinogens_Experiences_Number_Lifetime,"In your ENTIRE LIFE how many separate periods like this did you have when some of these experiences with hallucinogens were happening around the same time?

By separate periods, I mean times separated by at least a year when you EITHER STOPPED using hallucinogens entirely (PAUSE) OR you didn�t have any of the experiences you just mentioned with hallucinogens.",DCW_031402.doc,integer,,,,,,,PhenX,PX031402550300,,,,,,,,,,,,,,
PX031402_Substances_Lifetime_Abuse_Dependence_Hallucinogens_Experiences_Longest_Period_Months,In your ENTIRE LIFE what was the LONGEST period you had when SOME of these experiences with hallucinogens were happening around the same time? Months,DCW_031402.doc,integer,months,,,,,,PhenX,PX031402550400,,,,,,,,,,,,,,
PX031402_Substances_Lifetime_Abuse_Dependence_Hallucinogens_Experiences_Longest_Period_Years,In your ENTIRE LIFE what was the LONGEST period you had when SOME of these experiences with hallucinogens were happening around the same time? Years,DCW_031402.doc,integer,years,,,,,,PhenX,PX031402550500,,,,,,,,,,,,,,
PX031402_Substances_Lifetime_Abuse_Dependence_Hallucinogens_Experiences_Recent_Period_Age,About how old were you the MOST RECENT time when some of these experiences BEGAN to happen around the same time?,DCW_031402.doc,integer,,,,,,,PhenX,PX031402550600,,,,,,,,,,,,,,
PX031402_Substances_Lifetime_Abuse_Dependence_Hallucinogens_Experiences_Recent_Period_Months,How long did this period last when some of these experiences with hallucinogens were happening around the same time? Months,DCW_031402.doc,integer,months,,,,,,PhenX,PX031402550700,,,,,,,,,,,,,,
PX031402_Substances_Lifetime_Abuse_Dependence_Hallucinogens_Experiences_Recent_Period_Years,How long did this period last when some of these experiences with hallucinogens were happening around the same time? Years,DCW_031402.doc,integer,years,,,,,,PhenX,PX031402550800,,,,,,,,,,,,,,
PX031402_Substances_Lifetime_Abuse_Dependence_Hallucinogens_Stopped_Age,"About how old were you when you FINALLY STOPPED having these problems with hallucinogens? By finally stopped, I mean they never started happening again.",DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402550900,,,,,1 = Yes,2 = No,,,,,,,,
PX031402_Substances_Lifetime_Abuse_Dependence_Inhalants_Experiences_Prior_Last_Year,"You just mentioned some experience you had with inhalants/solvents in the past, that is, before 12 months ago. Before last (Month one year ago) was there ever a period when SOME of these experiences withinhalants/solvents were happening around the same time most days for at least a month (PAUSE), on and off for a few months or longer (PAUSE) or within the same 1-year period?",DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402560100,,,,,1 = Yes,2 = No,,,,,,,,
PX031402_Substances_Lifetime_Abuse_Dependence_Inhalants_Experiences_First_Time_Age,About how old were you the FIRST time SOME of these experiences with inhalants/solvents BEGAN to happen around the same time?,DCW_031402.doc,integer,,,,,,,PhenX,PX031402560200,,,,,,,,,,,,,,
PX031402_Substances_Lifetime_Abuse_Dependence_Inhalants_Experiences_Number_Lifetime,"In your ENTIRE LIFE how many separate periods like this did you have when some of these experiences with inhalants/solvents were happening around the same time?

By separate periods, I mean times separated by at least a year when you EITHER STOPPED using inhalants/solvents entirely (PAUSE) OR you didn�t have any of the experiences you just mentioned with inhalants/solvents.",DCW_031402.doc,integer,,,,,,,PhenX,PX031402560300,,,,,,,,,,,,,,
PX031402_Substances_Lifetime_Abuse_Dependence_Inhalants_Experiences_Longest_Period_Months,In your ENTIRE LIFE what was the LONGEST period you had when SOME of these experiences with inhalants/solvents were happening around the same time? Months,DCW_031402.doc,integer,months,,,,,,PhenX,PX031402560400,,,,,,,,,,,,,,
PX031402_Substances_Lifetime_Abuse_Dependence_Inhalants_Experiences_Longest_Period_Years,In your ENTIRE LIFE what was the LONGEST period you had when SOME of these experiences with inhalants/solvents were happening around the same time? Years,DCW_031402.doc,integer,years,,,,,,PhenX,PX031402560500,,,,,,,,,,,,,,
PX031402_Substances_Lifetime_Abuse_Dependence_Inhalants_Experiences_Recent_Period_Age,About how old were you the MOST RECENT time when some of these experiences BEGAN to happen around the same time?,DCW_031402.doc,integer,,,,,,,PhenX,PX031402560600,,,,,,,,,,,,,,
PX031402_Substances_Lifetime_Abuse_Dependence_Inhalants_Experiences_Recent_Period_Months,How long did this period last when some of these experiences with inhalants/solvents were happening around the same time? Months,DCW_031402.doc,integer,months,,,,,,PhenX,PX031402560700,,,,,,,,,,,,,,
PX031402_Substances_Lifetime_Abuse_Dependence_Inhalants_Experiences_Recent_Period_Years,How long did this period last when some of these experiences with inhalants/solvents were happening around the same time? Years,DCW_031402.doc,integer,years,,,,,,PhenX,PX031402560800,,,,,,,,,,,,,,
PX031402_Substances_Lifetime_Abuse_Dependence_Inhalants_Stopped_Age,"About how old were you when you FINALLY STOPPED having these problems with inhalants/solvents? By finally stopped, I mean they never started happening again.",DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402560900,,,,,1 = Yes,2 = No,,,,,,,,
PX031402_Substances_Lifetime_Abuse_Dependence_Heroin_Experiences_Prior_Last_Year,"You just mentioned some experience you had with heroin in the past, that is, before 12 months ago. Before last (Month one year ago) was there ever a period when SOME of these experiences withheroin were happening around the same time most days for at least a month (PAUSE), on and off for a few months or longer (PAUSE) or within the same 1-year period?",DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402570100,,,,,1 = Yes,2 = No,,,,,,,,
PX031402_Substances_Lifetime_Abuse_Dependence_Heroin_Experiences_First_Time_Age,About how old were you the FIRST time SOME of these experiences with heroin BEGAN to happen around the same time?,DCW_031402.doc,integer,,,,,,,PhenX,PX031402570200,,,,,,,,,,,,,,
PX031402_Substances_Lifetime_Abuse_Dependence_Heroin_Experiences_Number_Lifetime,"In your ENTIRE LIFE how many separate periods like this did you have when some of these experiences with heroin were happening around the same time?

By separate periods, I mean times separated by at least a year when you EITHER STOPPED using heroin entirely (PAUSE) OR you didn�t have any of the experiences you just mentioned with heroin.",DCW_031402.doc,integer,,,,,,,PhenX,PX031402570300,,,,,,,,,,,,,,
PX031402_Substances_Lifetime_Abuse_Dependence_Heroin_Experiences_Longest_Period_Months,In your ENTIRE LIFE what was the LONGEST period you had when SOME of these experiences with heroin were happening around the same time? Months,DCW_031402.doc,integer,months,,,,,,PhenX,PX031402570400,,,,,,,,,,,,,,
PX031402_Substances_Lifetime_Abuse_Dependence_Heroin_Experiences_Longest_Period_Years,In your ENTIRE LIFE what was the LONGEST period you had when SOME of these experiences with heroin were happening around the same time? Years,DCW_031402.doc,integer,years,,,,,,PhenX,PX031402570500,,,,,,,,,,,,,,
PX031402_Substances_Lifetime_Abuse_Dependence_Heroin_Experiences_Recent_Period_Age,About how old were you the MOST RECENT time when some of these experiences BEGAN to happen around the same time?,DCW_031402.doc,integer,,,,,,,PhenX,PX031402570600,,,,,,,,,,,,,,
PX031402_Substances_Lifetime_Abuse_Dependence_Heroin_Experiences_Recent_Period_Months,How long did this period last when some of these experiences with heroin were happening around the same time? Months,DCW_031402.doc,integer,months,,,,,,PhenX,PX031402570700,,,,,,,,,,,,,,
PX031402_Substances_Lifetime_Abuse_Dependence_Heroin_Experiences_Recent_Period_Years,How long did this period last when some of these experiences with heroin were happening around the same time? Years,DCW_031402.doc,integer,years,,,,,,PhenX,PX031402570800,,,,,,,,,,,,,,
PX031402_Substances_Lifetime_Abuse_Dependence_Heroin_Stopped_Age,"About how old were you when you FINALLY STOPPED having these problems with heroin? By finally stopped, I mean they never started happening again.",DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402570900,,,,,1 = Yes,2 = No,,,,,,,,
PX031402_Substances_Lifetime_Abuse_Dependence_Other_Experiences_Prior_Last_Year,"You just mentioned some experience you had with other in the past, that is, before 12 months ago. Before last (Month one year ago) was there ever a period when SOME of these experiences withother were happening around the same time most days for at least a month (PAUSE), on and off for a few months or longer (PAUSE) or within the same 1-year period?",DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402580100,,,,,1 = Yes,2 = No,,,,,,,,
PX031402_Substances_Lifetime_Abuse_Dependence_Other_Experiences_First_Time_Age,About how old were you the FIRST time SOME of these experiences with other BEGAN to happen around the same time?,DCW_031402.doc,integer,,,,,,,PhenX,PX031402580200,,,,,,,,,,,,,,
PX031402_Substances_Lifetime_Abuse_Dependence_Other_Experiences_Number_Lifetime,"In your ENTIRE LIFE how many separate periods like this did you have when some of these experiences with other were happening around the same time?

By separate periods, I mean times separated by at least a year when you EITHER STOPPED using other entirely (PAUSE) OR you didn�t have any of the experiences you just mentioned with other.",DCW_031402.doc,integer,,,,,,,PhenX,PX031402580300,,,,,,,,,,,,,,
PX031402_Substances_Lifetime_Abuse_Dependence_Other_Experiences_Longest_Period_Months,In your ENTIRE LIFE what was the LONGEST period you had when SOME of these experiences with other were happening around the same time? Months,DCW_031402.doc,integer,months,,,,,,PhenX,PX031402580400,,,,,,,,,,,,,,
PX031402_Substances_Lifetime_Abuse_Dependence_Other_Experiences_Longest_Period_Years,In your ENTIRE LIFE what was the LONGEST period you had when SOME of these experiences with other were happening around the same time? Years,DCW_031402.doc,integer,years,,,,,,PhenX,PX031402580500,,,,,,,,,,,,,,
PX031402_Substances_Lifetime_Abuse_Dependence_Other_Experiences_Recent_Period_Age,About how old were you the MOST RECENT time when some of these experiences BEGAN to happen around the same time?,DCW_031402.doc,integer,,,,,,,PhenX,PX031402580600,,,,,,,,,,,,,,
PX031402_Substances_Lifetime_Abuse_Dependence_Other_Experiences_Recent_Period_Months,How long did this period last when some of these experiences with other were happening around the same time? Months,DCW_031402.doc,integer,months,,,,,,PhenX,PX031402580700,,,,,,,,,,,,,,
PX031402_Substances_Lifetime_Abuse_Dependence_Other_Experiences_Recent_Period_Years,How long did this period last when some of these experiences with other were happening around the same time? Years,DCW_031402.doc,integer,years,,,,,,PhenX,PX031402580800,,,,,,,,,,,,,,
PX031402_Substances_Lifetime_Abuse_Dependence_Other_Stopped_Age,"About how old were you when you FINALLY STOPPED having these problems with other? By finally stopped, I mean they never started happening again.",DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402580900,,,,,1 = Yes,2 = No,,,,,,,,
PX031402_Substances_Lifetime_Abuse_Dependence_Sedatives_Tranquilizers_Past_Year_Prescription,"You just mentioned SOME experiences you had with sedatives or tranquilizers in the last 12 months. When you had SOME of these experiences with sedatives or tranquilizers in the last 12 months, were you using them without a prescription?",DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402590100,,,,,1 = Yes,2 = No,,,,,,,,
PX031402_Substances_Lifetime_Abuse_Dependence_Sedatives_Tranquilizers_Past_Year_Prescription_Misuse,"You just mentioned SOME experiences you had with sedatives or tranquilizers in the last 12 months. During the last 12 months when you had some of these experiences with sedatives or tranquilizers, were you using them in LARGER AMOUNTS, MORE FREQUENTLY or LONGER than prescribed or for a reason other than prescribed by a doctor?",DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402590200,,,,,1 = Yes,2 = No,,,,,,,,
PX031402_Substances_Lifetime_Abuse_Dependence_Sedatives_Tranquilizers_Prior_Last_Year_Prescription,"You just mentioned SOME experience you had with sedatives or tranquilizers around the same time BEFORE 12 months ago, that is, BEFORE last (Month one year ago). During ANY of these times when you had SOME of these experiences with sedatives or tranquilizers BEORE 12 months ago, were you using them without a prescription?",DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402600100,,,,,1 = Yes,2 = No,,,,,,,,
PX031402_Substances_Lifetime_Abuse_Dependence_Sedatives_Tranquilizers_Prior_Last_Year_Without_Prescription,"You just mentioned SOME experience you had with sedatives or tranquilizers around the same time BEFORE 12 months ago, that is, BEFORE last (Month one year ago). Did ALL of these times BEFORE 12 months ago ONLY happen when you were using sedatives or tranquilizers without a prescription?",DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402600200,,,,,1 = Yes,2 = No,,,,,,,,
PX031402_Substances_Lifetime_Abuse_Dependence_Sedatives_Tranquilizers_Prior_Last_Year_Prescription_Misuse,"You just mentioned SOME experience you had with sedatives or tranquilizers around the same time BEFORE 12 months ago, that is, BEFORE last (Month one year ago). During ANY of these times when you had SOME of those experiences with sedatives or tranquilizers BEFORE 12 months ago, were you using them in GREATER AMOUNTS, MORE FREQUENTLY, or LONGER than prescribed or for a reason other than prescribed by a doctor?",DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402600300,,,,,1 = Yes,2 = No,,,,,,,,
PX031402_Substances_Lifetime_Abuse_Dependence_Sedatives_Tranquilizers_Prior_Last_Year_Only_Prescription_Misuse,"Did ALL of those times BEFORE 12 months ago ONLY happen when you were using sedatives or tranquilizers in LARGER AMOUNTS, MORE FREQUENTLY, or LONGER than prescribed or for a reason other than prescribed by a doctor?",DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402610000,,,,,1 = Yes,2 = No,,,,,,,,
PX031402_Substances_Lifetime_Abuse_Dependence_Painkillers_Past_Year_Prescription,"You just mentioned SOME experiences you had with painkillers in the last 12 months. When you had SOME of these experiences with painkillers in the last 12 months, were you using them without a prescription?",DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402620100,,,,,1 = Yes,2 = No,,,,,,,,
PX031402_Substances_Lifetime_Abuse_Dependence_Painkillers_Past_Year_Prescription_Misuse,"You just mentioned SOME experiences you had with painkillers in the last 12 months. During the last 12 months when you had some of these experiences with painkillers, were you using them in LARGER AMOUNTS, MORE FREQUENTLY or LONGER than prescribed or for a reason other than prescribed by a doctor?",DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402620200,,,,,1 = Yes,2 = No,,,,,,,,
PX031402_Substances_Lifetime_Abuse_Dependence_Painkillers_Prior_Last_Year_Prescription,"You just mentioned SOME experience you had with painkillers around the same time BEFORE 12 months ago, that is, BEFORE last (Month one year ago). During ANY of these times when you had SOME of these experiences with painkillers BEORE 12 months ago, were you using them without a prescription?",DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402630100,,,,,1 = Yes,2 = No,,,,,,,,
PX031402_Substances_Lifetime_Abuse_Dependence_Painkillers_Prior_Last_Year_Without_Prescription,"You just mentioned SOME experience you had with painkillers around the same time BEFORE 12 months ago, that is, BEFORE last (Month one year ago). Did ALL of these times BEFORE 12 months ago ONLY happen when you were using painkillers without a prescription?",DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402630200,,,,,1 = Yes,2 = No,,,,,,,,
PX031402_Substances_Lifetime_Abuse_Dependence_Painkillers_Prior_Last_Year_Prescription_Misuse,"You just mentioned SOME experience you had with painkillers around the same time BEFORE 12 months ago, that is, BEFORE last (Month one year ago). During ANY of these times when you had SOME of those experiences with painkillers BEFORE 12 months ago, were you using them in GREATER AMOUNTS, MORE FREQUENTLY, or LONGER than prescribed or for a reason other than prescribed by a doctor?",DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402630300,,,,,1 = Yes,2 = No,,,,,,,,
PX031402_Substances_Lifetime_Abuse_Dependence_Painkillers_Prior_Last_Year_Only_Prescription_Misuse,"Did ALL of those times BEFORE 12 months ago ONLY happen when you were using painkillers in LARGER AMOUNTS, MORE FREQUENTLY, or LONGER than prescribed or for a reason other than prescribed by a doctor?",DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402640000,,,,,1 = Yes,2 = No,,,,,,,,
PX031402_Substances_Lifetime_Abuse_Dependence_Stimulants_Past_Year_Prescription,"You just mentioned SOME experiences you had with stimulants in the last 12 months. When you had SOME of these experiences with stimulants in the last 12 months, were you using them without a prescription?",DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402650100,,,,,1 = Yes,2 = No,,,,,,,,
PX031402_Substances_Lifetime_Abuse_Dependence_Stimulants_Past_Year_Prescription_Misuse,"You just mentioned SOME experiences you had with stimulants in the last 12 months. During the last 12 months when you had some of these experiences with stimulants, were you using them in LARGER AMOUNTS, MORE FREQUENTLY or LONGER than prescribed or for a reason other than prescribed by a doctor?",DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402650200,,,,,1 = Yes,2 = No,,,,,,,,
PX031402_Substances_Lifetime_Abuse_Dependence_Stimulants_Prior_Last_Year_Prescription,"You just mentioned SOME experience you had with stimulants around the same time BEFORE 12 months ago, that is, BEFORE last (Month one year ago). During ANY of these times when you had SOME of these experiences with stimulants BEORE 12 months ago, were you using them without a prescription?",DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402660100,,,,,1 = Yes,2 = No,,,,,,,,
PX031402_Substances_Lifetime_Abuse_Dependence_Stimulants_Prior_Last_Year_Without_Prescription,"You just mentioned SOME experience you had with stimulants around the same time BEFORE 12 months ago, that is, BEFORE last (Month one year ago). Did ALL of these times BEFORE 12 months ago ONLY happen when you were using stimulants without a prescription?",DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402660200,,,,,1 = Yes,2 = No,,,,,,,,
PX031402_Substances_Lifetime_Abuse_Dependence_Stimulants_Prior_Last_Year_Prescription_Misuse,"You just mentioned SOME experience you had with stimulants around the same time BEFORE 12 months ago, that is, BEFORE last (Month one year ago). During ANY of these times when you had SOME of those experiences with stimulants BEFORE 12 months ago, were you using them in GREATER AMOUNTS, MORE FREQUENTLY, or LONGER than prescribed or for a reason other than prescribed by a doctor?",DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402660300,,,,,1 = Yes,2 = No,,,,,,,,
PX031402_Substances_Lifetime_Abuse_Dependence_Stimulants_Prior_Last_Year_Only_Prescription_Misuse,"Did ALL of those times BEFORE 12 months ago ONLY happen when you were using stimulants in LARGER AMOUNTS, MORE FREQUENTLY, or LONGER than prescribed or for a reason other than prescribed by a doctor?",DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402670000,,,,,1 = Yes,2 = No,,,,,,,,
PX031402_Substances_Lifetime_Abuse_Dependence_Arrests_Past_Year,"In the last 12 months, did you more than once get arrested, held at a police station or have any other legal problems because of your medicine or drug use?",DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402680100,,,,,1 = Yes,2 = No,,,,,,,,
PX031402_Substances_Lifetime_Abuse_Dependence_Arrests_Past_Year_Names,"During the last 12 months, which medicines or drugs did this happen with?",DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402680200,,,,,1 = SED,2 = PAN,3 = MAR,4 = COC,5 = STIM,6 = CLB,7 = HAL,8 = SOLV,9 = HER,10 = OTH
PX031402_Substances_Lifetime_Abuse_Dependence_Arrests_Prior_Last_Year,"Did this happen before 12 months ago, that is before last (Month one year ago)?",DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402680300,,,,,1 = Yes,2 = No,,,,,,,,
PX031402_Substances_Lifetime_Abuse_Dependence_Arrests_Prior_Last_Year_Names,Which medicines or drugs did this happen with before 12 months ago?,DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402680400,,,,,1 = SED,2 = PAN,3 = MAR,4 = COC,5 = STIM,6 = CLB,7 = HAL,8 = SOLV,9 = HER,10 = OTH
PX031402_Substances_Lifetime_Abuse_Dependence_Mental_Performance_Past_Year,"In the last 12 months, did you use any medicine or drug to make you more alert or to enhance your mental performance, skills or abilities at work or in school?",DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402690100,,,,,1 = Yes,2 = No,,,,,,,,
PX031402_Substances_Lifetime_Abuse_Dependence_Mental_Performance_Past_Year_Names,"During the last 12 months, which medicines or drugs did this happen with?",DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402690200,,,,,1 = SED,2 = PAN,3 = MAR,4 = COC,5 = STIM,6 = CLB,7 = HAL,8 = SOLV,9 = HER,10 = OTH
PX031402_Substances_Lifetime_Abuse_Dependence_Mental_Performance_Prior_Last_Year,"Did this happen before 12 months ago, that is before last (Month one year ago)?",DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402690300,,,,,1 = Yes,2 = No,,,,,,,,
PX031402_Substances_Lifetime_Abuse_Dependence_Mental_Performance_Prior_Last_Year_Names,"During the last 12 months, which medicines or drugs did this happen with?",DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402690400,,,,,1 = SED,2 = PAN,3 = MAR,4 = COC,5 = STIM,6 = CLB,7 = HAL,8 = SOLV,9 = HER,10 = OTH
