VARNAME,VARDESC,DOCFILE,TYPE,UNITS,MIN,MAX,RESOLUTION,COMMENT1,COMMENT2,VARIABLE_SOURCE,SOURCE_VARIABLE_ID,VARIABLE_MAPPING,UNIQUEKEY,COLLINTERVAL,ORDER,VALUES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Abstracted_Date_Month,Date Abstracted - Month,DCW_190401.doc,integer,,,,,,,PhenX,PX190401010100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Abstracted_Date_Day,Date Abstracted - Day,DCW_190401.doc,integer,,,,,,,PhenX,PX190401010200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Abstracted_Date_Year,Date Abstracted - Year,DCW_190401.doc,integer,,,,,,,PhenX,PX190401010300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Abstractor_ID,Abstractor ID Number,DCW_190401.doc,integer,,0,9999,,,,PhenX,PX190401020000,,,,,0..9999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Nosologist_ID,Nosologist ID Number,DCW_190401.doc,integer,,0,9999,,,,PhenX,PX190401030000,,,,,0..9999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_CTR_ID,CTR ID Number,DCW_190401.doc,integer,,0,9999,,,,PhenX,PX190401040000,,,,,0..9999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Study_Year,Study Year,DCW_190401.doc,enumerated,,,,,,,PhenX,PX190401050000,,,,,T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Complication_Type_5,TYPE OF COMPLICATION,DCW_190401.doc,encoded values,,,,,,,PhenX,PX190401140601,,,,,1 = Infection (SPECIFY),2 = Fever requiring antibiotics,3 = Perforation,4 = Hemorrhage,6 = Respiratory arrest,20 = Cardiac arrest,22 = Hospitalization,23 = Pulmonary embolus/emboli,24 = Myocardial infarction,25 = Cardiac arrhythmia,26 = Cerebral vascular accident (CVA)/Stroke,27 = Blood loss requiring transfusion,28 = Deep venous thrombosis (DVT),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Complication_Type_Specify_5,TYPE OF COMPLICATION - SPECIFY,DCW_190401.doc,string,,,,,,,PhenX,PX190401140602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Complication_Date_5_Month,DATE OF COMPLICATION - Month,DCW_190401.doc,integer,,,,,,,PhenX,PX190401140603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Complication_Date_5_Day,DATE OF COMPLICATION - Month,DCW_190401.doc,integer,,,,,,,PhenX,PX190401140604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Complication_Date_5_Year,DATE OF COMPLICATION - Year,DCW_190401.doc,integer,,,,,,,PhenX,PX190401140605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Complication_Type_6,TYPE OF COMPLICATION,DCW_190401.doc,encoded values,,,,,,,PhenX,PX190401140701,,,,,1 = Infection (SPECIFY),2 = Fever requiring antibiotics,3 = Perforation,4 = Hemorrhage,6 = Respiratory arrest,20 = Cardiac arrest,22 = Hospitalization,23 = Pulmonary embolus/emboli,24 = Myocardial infarction,25 = Cardiac arrhythmia,26 = Cerebral vascular accident (CVA)/Stroke,27 = Blood loss requiring transfusion,28 = Deep venous thrombosis (DVT),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Complication_Type_Specify_6,TYPE OF COMPLICATION - SPECIFY,DCW_190401.doc,string,,,,,,,PhenX,PX190401140702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Complication_Date_6_Month,DATE OF COMPLICATION - Month,DCW_190401.doc,integer,,,,,,,PhenX,PX190401140703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Complication_Date_6_Day,DATE OF COMPLICATION - Month,DCW_190401.doc,integer,,,,,,,PhenX,PX190401140704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Complication_Date_6_Year,DATE OF COMPLICATION - Year,DCW_190401.doc,integer,,,,,,,PhenX,PX190401140705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Diagnostic_Evaluation_Colorectal_Cancer,Result of Diagnostic Evaluation for Colorectal Cancer,DCW_190401.doc,enumerated,,,,,,,PhenX,PX190401150100,,,,,No malignancy,No malignancy and no diagnostic/staging procedures performed,Colorectal malignancy confirmed histologically (exclude carcinoma in situ),Colorectal malignancy confirmed cytologically,Colorectal malignancy diagnosed by clinical examination only,Other malignancy confirmed histologicaly or cytologically,No information available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Other_Cancer_Diagnosis,Other Cancer Diagnosis,DCW_190401.doc,enumerated,,,,,,,PhenX,PX190401160100,,,,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Other_Cancer_Diagnosis_Classification_1,ICD-9-CM CLASSIFICATION,DCW_190401.doc,integer,,,,,,,PhenX,PX190401160201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Other_Cancer_Diagnosis_Date_1_Month,DATE OF OTHER CANCER DIAGNOSIS - Month,DCW_190401.doc,integer,,,,,,,PhenX,PX190401160202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Other_Cancer_Diagnosis_Date_1_Day,DATE OF OTHER CANCER DIAGNOSIS - Day,DCW_190401.doc,integer,,,,,,,PhenX,PX190401160203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Other_Cancer_Diagnosis_Date_1_Year,DATE OF OTHER CANCER DIAGNOSIS - Year,DCW_190401.doc,integer,,,,,,,PhenX,PX190401160204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Other_Cancer_Diagnosis_Classification_2,ICD-9-CM CLASSIFICATION,DCW_190401.doc,integer,,,,,,,PhenX,PX190401160301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Other_Cancer_Diagnosis_Date_2_Month,DATE OF OTHER CANCER DIAGNOSIS - Month,DCW_190401.doc,integer,,,,,,,PhenX,PX190401160302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Other_Cancer_Diagnosis_Date_2_Day,DATE OF OTHER CANCER DIAGNOSIS - Day,DCW_190401.doc,integer,,,,,,,PhenX,PX190401160303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Other_Cancer_Diagnosis_Date_2_Year,DATE OF OTHER CANCER DIAGNOSIS - Year,DCW_190401.doc,integer,,,,,,,PhenX,PX190401160304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Colorectal_Carcinoma_Description,Description of Colorectal Carcinoma,DCW_190401.doc,enumerated,,,,,,,PhenX,PX190401170100,,,,,No,Yes,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Colorectal_Carcinoma_Procedure_1_Sigmoidoscopy,PROCEDURE Sigmoidosocopy,DCW_190401.doc,enumerated,,,,,MARK ALL THAT APPLY.,,PhenX,PX190401170201,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Colorectal_Carcinoma_Procedure_1_Colonoscopy,PROCEDURE Colonoscopy,DCW_190401.doc,enumerated,,,,,MARK ALL THAT APPLY.,,PhenX,PX190401170202,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Colorectal_Carcinoma_Procedure_1_Polypectomy,PROCEDURE Polypectomy,DCW_190401.doc,enumerated,,,,,MARK ALL THAT APPLY.,,PhenX,PX190401170203,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Colorectal_Carcinoma_Procedure_1_SurgicalResection,PROCEDURE,DCW_190401.doc,enumerated,,,,,MARK ALL THAT APPLY.,,PhenX,PX190401170204,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Colorectal_Carcinoma_Procedure_1_OtherResection,PROCEDURE Local transanal or other resection,DCW_190401.doc,enumerated,,,,,MARK ALL THAT APPLY.,,PhenX,PX190401170205,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Colorectal_Carcinoma_Procedure_1_Endoscopy,PROCEDURE Endoscopy,DCW_190401.doc,enumerated,,,,,MARK ALL THAT APPLY.,,PhenX,PX190401170206,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Colorectal_Carcinoma_Location_Anatomic_1_Cecum,LOCATION - Anatomic  Cecum,DCW_190401.doc,enumerated,,,,,MARK ALL THAT APPLY FOR MULTIPLE ADENOMAS.,,PhenX,PX190401170207,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Colorectal_Carcinoma_Location_Anatomic_1_AscendingColon,LOCATION - Anatomic  Ascending Colon,DCW_190401.doc,enumerated,,,,,MARK ALL THAT APPLY FOR MULTIPLE ADENOMAS.,,PhenX,PX190401170208,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Colorectal_Carcinoma_Location_Anatomic_1_HepaticFlexure,LOCATION - Anatomic  Hepatic Flexure,DCW_190401.doc,enumerated,,,,,MARK ALL THAT APPLY FOR MULTIPLE ADENOMAS.,,PhenX,PX190401170209,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Colorectal_Carcinoma_Location_Anatomic_1_TranverseColon,LOCATION - Anatomic  Transverse Colon,DCW_190401.doc,enumerated,,,,,MARK ALL THAT APPLY FOR MULTIPLE ADENOMAS.,,PhenX,PX190401170210,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Colorectal_Carcinoma_Location_Anatomic_1_SplenicFlexure,LOCATION - Anatomic  Splenic Flexure,DCW_190401.doc,enumerated,,,,,MARK ALL THAT APPLY FOR MULTIPLE ADENOMAS.,,PhenX,PX190401170211,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Colorectal_Carcinoma_Location_Anatomic_1_DescendingColon,LOCATION - Anatomic  Descending Colon,DCW_190401.doc,enumerated,,,,,MARK ALL THAT APPLY FOR MULTIPLE ADENOMAS.,,PhenX,PX190401170212,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Colorectal_Carcinoma_Location_Anatomic_1_SigmoidColon,LOCATION - Anatomic  Sigmoid Colon,DCW_190401.doc,enumerated,,,,,MARK ALL THAT APPLY FOR MULTIPLE ADENOMAS.,,PhenX,PX190401170213,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Colorectal_Carcinoma_Location_Anatomic_1_Rectum,LOCATION - Anatomic  Rectum,DCW_190401.doc,enumerated,,,,,MARK ALL THAT APPLY FOR MULTIPLE ADENOMAS.,,PhenX,PX190401170214,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Colorectal_Carcinoma_Location_Anatomic_1_Appendix,LOCATION - Anatomic  Appendix,DCW_190401.doc,enumerated,,,,,MARK ALL THAT APPLY FOR MULTIPLE ADENOMAS.,,PhenX,PX190401170215,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Colorectal_Carcinoma_Location_Anatomic_1_NotAvailable,LOCATION - Anatomic  Not Available,DCW_190401.doc,enumerated,,,,,MARK ALL THAT APPLY FOR MULTIPLE ADENOMAS.,,PhenX,PX190401170216,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Colorectal_Carcinoma_Location_Distance_1,LOCATION - Distance in cm,DCW_190401.doc,integer,,,,,,,PhenX,PX190401170217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Colorectal_Carcinoma_Location_Distance_1_Coded,LOCATION - Distance in cm,DCW_190401.doc,encoded values,,,,,,,PhenX,PX190401170218,,,,,99 = Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Colorectal_Carcinoma_Gross_Morphology_1,GROSS MORPHOLOGY,DCW_190401.doc,encoded values,,,,,,,PhenX,PX190401170219,,,,,1 = Exophytic,2 = Endophytic,3 = Annular,4 = Diffusely infiltrative,9 = Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Colorectal_Carcinoma_Procedure_2_Sigmoidoscopy,PROCEDURE Sigmoidosocopy,DCW_190401.doc,enumerated,,,,,MARK ALL THAT APPLY.,,PhenX,PX190401170301,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Colorectal_Carcinoma_Procedure_2_Colonoscopy,PROCEDURE Colonoscopy,DCW_190401.doc,enumerated,,,,,MARK ALL THAT APPLY.,,PhenX,PX190401170302,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Colorectal_Carcinoma_Procedure_2_Polypectomy,PROCEDURE Polypectomy,DCW_190401.doc,enumerated,,,,,MARK ALL THAT APPLY.,,PhenX,PX190401170303,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Colorectal_Carcinoma_Procedure_2_SurgicalResection,PROCEDURE,DCW_190401.doc,enumerated,,,,,MARK ALL THAT APPLY.,,PhenX,PX190401170304,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Colorectal_Carcinoma_Procedure_2_OtherResection,PROCEDURE Local transanal or other resection,DCW_190401.doc,enumerated,,,,,MARK ALL THAT APPLY.,,PhenX,PX190401170305,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Colorectal_Carcinoma_Procedure_2_Endoscopy,PROCEDURE Endoscopy,DCW_190401.doc,enumerated,,,,,MARK ALL THAT APPLY.,,PhenX,PX190401170306,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Colorectal_Carcinoma_Location_Anatomic_2_Cecum,LOCATION - Anatomic  Cecum,DCW_190401.doc,enumerated,,,,,MARK ALL THAT APPLY FOR MULTIPLE ADENOMAS.,,PhenX,PX190401170307,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Colorectal_Carcinoma_Location_Anatomic_2_AscendingColon,LOCATION - Anatomic  Ascending Colon,DCW_190401.doc,enumerated,,,,,MARK ALL THAT APPLY FOR MULTIPLE ADENOMAS.,,PhenX,PX190401170308,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Colorectal_Carcinoma_Location_Anatomic_2_HepaticFlexure,LOCATION - Anatomic  Hepatic Flexure,DCW_190401.doc,enumerated,,,,,MARK ALL THAT APPLY FOR MULTIPLE ADENOMAS.,,PhenX,PX190401170309,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Colorectal_Carcinoma_Location_Anatomic_2_TranverseColon,LOCATION - Anatomic  Transverse Colon,DCW_190401.doc,enumerated,,,,,MARK ALL THAT APPLY FOR MULTIPLE ADENOMAS.,,PhenX,PX190401170310,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Colorectal_Carcinoma_Location_Anatomic_2_SplenicFlexure,LOCATION - Anatomic  Splenic Flexure,DCW_190401.doc,enumerated,,,,,MARK ALL THAT APPLY FOR MULTIPLE ADENOMAS.,,PhenX,PX190401170311,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Colorectal_Carcinoma_Location_Anatomic_2_DescendingColon,LOCATION - Anatomic  Descending Colon,DCW_190401.doc,enumerated,,,,,MARK ALL THAT APPLY FOR MULTIPLE ADENOMAS.,,PhenX,PX190401170312,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Colorectal_Carcinoma_Location_Anatomic_2_SigmoidColon,LOCATION - Anatomic  Sigmoid Colon,DCW_190401.doc,enumerated,,,,,MARK ALL THAT APPLY FOR MULTIPLE ADENOMAS.,,PhenX,PX190401170313,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Colorectal_Carcinoma_Location_Anatomic_2_Rectum,LOCATION - Anatomic  Rectum,DCW_190401.doc,enumerated,,,,,MARK ALL THAT APPLY FOR MULTIPLE ADENOMAS.,,PhenX,PX190401170314,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Colorectal_Carcinoma_Location_Anatomic_2_Appendix,LOCATION - Anatomic  Appendix,DCW_190401.doc,enumerated,,,,,MARK ALL THAT APPLY FOR MULTIPLE ADENOMAS.,,PhenX,PX190401170315,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Colorectal_Carcinoma_Location_Anatomic_2_NotAvailable,LOCATION - Anatomic  Not Available,DCW_190401.doc,enumerated,,,,,MARK ALL THAT APPLY FOR MULTIPLE ADENOMAS.,,PhenX,PX190401170316,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Colorectal_Carcinoma_Location_Distance_2,LOCATION - Distance in cm,DCW_190401.doc,integer,,,,,,,PhenX,PX190401170317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Colorectal_Carcinoma_Location_Distance_2_Coded,LOCATION - Distance in cm,DCW_190401.doc,encoded values,,,,,,,PhenX,PX190401170318,,,,,99 = Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Colorectal_Carcinoma_Gross_Morphology_2,GROSS MORPHOLOGY,DCW_190401.doc,encoded values,,,,,,,PhenX,PX190401170319,,,,,1 = Exophytic,2 = Endophytic,3 = Annular,4 = Diffusely infiltrative,9 = Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Colorectal_Carcinoma_Procedure_3_Sigmoidoscopy,PROCEDURE Sigmoidosocopy,DCW_190401.doc,enumerated,,,,,MARK ALL THAT APPLY.,,PhenX,PX190401170401,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Colorectal_Carcinoma_Procedure_3_Colonoscopy,PROCEDURE Colonoscopy,DCW_190401.doc,enumerated,,,,,MARK ALL THAT APPLY.,,PhenX,PX190401170402,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Colorectal_Carcinoma_Procedure_3_Polypectomy,PROCEDURE Polypectomy,DCW_190401.doc,enumerated,,,,,MARK ALL THAT APPLY.,,PhenX,PX190401170403,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Colorectal_Carcinoma_Procedure_3_SurgicalResection,PROCEDURE,DCW_190401.doc,enumerated,,,,,MARK ALL THAT APPLY.,,PhenX,PX190401170404,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Colorectal_Carcinoma_Procedure_3_OtherResection,PROCEDURE Local transanal or other resection,DCW_190401.doc,enumerated,,,,,MARK ALL THAT APPLY.,,PhenX,PX190401170405,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Colorectal_Carcinoma_Procedure_3_Endoscopy,PROCEDURE Endoscopy,DCW_190401.doc,enumerated,,,,,MARK ALL THAT APPLY.,,PhenX,PX190401170406,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Colorectal_Carcinoma_Location_Anatomic_3_Cecum,LOCATION - Anatomic  Cecum,DCW_190401.doc,enumerated,,,,,MARK ALL THAT APPLY FOR MULTIPLE ADENOMAS.,,PhenX,PX190401170407,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Colorectal_Carcinoma_Location_Anatomic_3_AscendingColon,LOCATION - Anatomic  Ascending Colon,DCW_190401.doc,enumerated,,,,,MARK ALL THAT APPLY FOR MULTIPLE ADENOMAS.,,PhenX,PX190401170408,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Colorectal_Carcinoma_Location_Anatomic_3_HepaticFlexure,LOCATION - Anatomic  Hepatic Flexure,DCW_190401.doc,enumerated,,,,,MARK ALL THAT APPLY FOR MULTIPLE ADENOMAS.,,PhenX,PX190401170409,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Colorectal_Carcinoma_Location_Anatomic_3_TranverseColon,LOCATION - Anatomic  Transverse Colon,DCW_190401.doc,enumerated,,,,,MARK ALL THAT APPLY FOR MULTIPLE ADENOMAS.,,PhenX,PX190401170410,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Colorectal_Carcinoma_Location_Anatomic_3_SplenicFlexure,LOCATION - Anatomic  Splenic Flexure,DCW_190401.doc,enumerated,,,,,MARK ALL THAT APPLY FOR MULTIPLE ADENOMAS.,,PhenX,PX190401170411,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Colorectal_Carcinoma_Location_Anatomic_3_DescendingColon,LOCATION - Anatomic  Descending Colon,DCW_190401.doc,enumerated,,,,,MARK ALL THAT APPLY FOR MULTIPLE ADENOMAS.,,PhenX,PX190401170412,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Colorectal_Carcinoma_Location_Anatomic_3_SigmoidColon,LOCATION - Anatomic  Sigmoid Colon,DCW_190401.doc,enumerated,,,,,MARK ALL THAT APPLY FOR MULTIPLE ADENOMAS.,,PhenX,PX190401170413,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Colorectal_Carcinoma_Location_Anatomic_3_Rectum,LOCATION - Anatomic  Rectum,DCW_190401.doc,enumerated,,,,,MARK ALL THAT APPLY FOR MULTIPLE ADENOMAS.,,PhenX,PX190401170414,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Colorectal_Carcinoma_Location_Anatomic_3_Appendix,LOCATION - Anatomic  Appendix,DCW_190401.doc,enumerated,,,,,MARK ALL THAT APPLY FOR MULTIPLE ADENOMAS.,,PhenX,PX190401170415,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
